idx,x,type,high,open,close,low
0,-2,bear,175.29,175.29,169.58,169.58
1,6,bear,199.74,199.74,196.61,196.61
2,8,bear,170.53,170.53,166.59,166.59
3,10,bear,199.74,199.74,196.61,196.61
4,12,bull,198.38,197.43,198.38,197.43
5,13,bear,170.53,170.53,166.59,166.59
6,15,bull,168.90,167.68,168.90,167.68
7,16,bull,198.38,197.43,198.38,197.43
8,18,bear,197.15,197.15,195.80,195.80
9,20,bull,168.90,167.68,168.90,167.68
10,22,bear,197.15,197.15,195.80,195.80
11,23,bear,167.41,167.41,165.64,165.64
12,24,bull,196.61,196.07,196.61,196.07
13,28,bear,167.41,167.41,165.64,165.64
14,30,bull,166.59,165.91,166.59,165.91
15,34,bull,200.96,198.38,200.96,198.38
16,35,bull,166.59,165.91,166.59,165.91
17,38,bull,172.16,168.90,172.16,168.90
18,42,bear,202.59,202.59,200.42,200.42
19,43,bull,172.16,168.90,172.16,168.90
20,46,bear,202.59,202.59,200.42,200.42
21,53,bear,174.20,174.20,171.48,171.48
22,54,bear,201.50,201.50,201.09,201.09
23,58,bear,174.20,174.20,171.48,171.48
24,60,bear,201.91,201.91,201.23,201.23
25,64,bear,201.91,201.91,201.23,201.23
26,66,bull,205.17,202.18,205.17,202.18
27,68,bear,172.70,172.70,172.30,172.30
28,70,bull,205.17,202.18,205.17,202.18
29,72,bull,207.89,206.80,207.89,206.80
30,73,bear,172.70,172.70,172.30,172.30
31,75,bear,173.25,173.25,172.43,172.43
32,76,bull,207.89,206.80,207.89,206.80
33,78,bull,212.50,209.11,212.50,209.11
34,80,bear,173.25,173.25,172.43,172.43
35,82,bull,212.50,209.11,212.50,209.11
36,83,bull,177.32,173.52,177.32,173.52
37,84,bull,213.59,212.23,213.59,212.23
38,88,bull,177.32,173.52,177.32,173.52
39,90,bull,180.72,179.36,180.72,179.36
40,94,bear,212.64,212.64,210.06,210.06
41,95,bull,180.72,179.36,180.72,179.36
42,98,bull,186.42,182.21,186.42,182.21
43,102,bull,211.15,209.65,211.15,209.65
44,103,bull,186.42,182.21,186.42,182.21
45,105,bull,187.92,186.29,187.92,186.29
46,106,bull,211.15,209.65,211.15,209.65
47,108,bull,212.37,210.60,212.37,210.60
48,110,bull,187.92,186.29,187.92,186.29
49,112,bull,212.37,210.60,212.37,210.60
50,113,bear,186.83,186.83,183.44,183.44
51,114,bull,211.15,210.74,211.15,210.74
52,118,bear,186.83,186.83,183.44,183.44
53,120,bear,209.92,209.92,208.84,208.84
54,124,bear,209.92,209.92,208.84,208.84
55,128,bull,184.79,183.03,184.79,183.03
56,133,bull,184.79,183.03,184.79,183.03
57,135,bull,186.42,184.11,186.42,184.11
58,138,bear,210.60,210.60,210.20,210.20
59,140,bull,186.42,184.11,186.42,184.11
60,142,bear,210.60,210.60,210.20,210.20
61,143,bull,184.93,184.25,184.93,184.25
62,148,bull,184.93,184.25,184.93,184.25
63,150,bear,183.30,183.30,181.81,181.81
64,154,bull,212.50,212.23,212.50,212.23
65,155,bear,183.30,183.30,181.81,181.81
66,156,bull,214.41,213.32,214.41,213.32
67,160,bull,214.41,213.32,214.41,213.32
68,162,bear,214.95,214.95,214.27,214.27
69,166,bear,214.95,214.95,214.27,214.27
70,173,bear,184.11,184.11,183.57,183.57
71,174,bear,214.68,214.68,214.00,214.00
72,178,bear,184.11,184.11,183.57,183.57
73,180,bull,184.93,184.66,184.93,184.66
74,185,bull,184.93,184.66,184.93,184.66
75,186,bear,214.13,214.13,211.42,211.42
76,188,bull,186.56,186.15,186.56,186.15
77,190,bear,214.13,214.13,211.42,211.42
78,192,bear,211.96,211.96,209.24,209.24
79,193,bull,186.56,186.15,186.56,186.15
80,195,bull,188.87,187.51,188.87,187.51
81,196,bear,211.96,211.96,209.24,209.24
82,198,bear,208.57,208.57,207.75,207.75
83,200,bull,188.87,187.51,188.87,187.51
84,202,bear,208.57,208.57,207.75,207.75
85,203,bear,189.68,189.68,188.73,188.73
86,204,bear,210.87,210.87,202.59,202.59
87,208,bear,189.68,189.68,188.73,188.73
88,210,bear,204.49,204.49,203.54,203.54
89,214,bear,204.49,204.49,203.54,203.54
90,216,bear,203.40,203.40,203.13,203.13
91,218,bear,189.28,189.28,188.46,188.46
92,220,bear,203.40,203.40,203.13,203.13
93,222,bull,213.32,205.85,213.32,205.85
94,223,bear,189.28,189.28,188.46,188.46
95,226,bull,213.32,205.85,213.32,205.85
96,228,bull,220.11,219.02,220.11,219.02
97,232,bull,220.11,219.02,220.11,219.02
98,233,bear,188.60,188.60,185.20,185.20
99,234,bull,229.35,220.93,229.35,220.93
100,238,bear,188.60,188.60,185.20,185.20
101,240,bear,185.74,185.74,182.35,182.35
102,244,bear,227.99,227.99,227.31,227.31
103,245,bear,185.74,185.74,182.35,182.35
104,246,bull,229.62,228.13,229.62,228.13
105,248,bear,181.53,181.53,180.45,180.45
106,250,bull,229.62,228.13,229.62,228.13
107,252,bull,233.29,231.25,233.29,231.25
108,253,bear,181.53,181.53,180.45,180.45
109,255,bear,184.52,184.52,174.06,174.06
110,256,bull,233.29,231.25,233.29,231.25
111,258,bear,234.10,234.10,232.88,232.88
112,260,bear,184.52,184.52,174.06,174.06
113,262,bear,234.10,234.10,232.88,232.88
114,263,bear,176.51,176.51,175.29,175.29
115,264,bear,233.97,233.97,231.79,231.79
116,268,bear,176.51,176.51,175.29,175.29
117,270,bear,175.15,175.15,174.74,174.74
118,274,bear,231.66,231.66,230.98,230.98
119,275,bear,175.15,175.15,174.74,174.74
120,276,bear,231.25,231.25,230.71,230.71
121,278,bull,187.51,178.14,187.51,178.14
122,280,bear,231.25,231.25,230.71,230.71
123,282,bear,230.03,230.03,226.22,226.22
124,283,bull,187.51,178.14,187.51,178.14
125,285,bull,195.93,194.71,195.93,194.71
126,286,bear,230.03,230.03,226.22,226.22
127,288,bear,226.22,226.22,225.00,225.00
128,290,bull,195.93,194.71,195.93,194.71
129,292,bear,226.22,226.22,225.00,225.00
130,293,bull,207.61,197.15,207.61,197.15
131,294,bull,227.72,226.36,227.72,226.36
132,298,bull,207.61,197.15,207.61,197.15
133,300,bear,205.85,205.85,205.03,205.03
134,304,bull,227.17,226.63,227.17,226.63
135,305,bear,205.85,205.85,205.03,205.03
136,306,bull,229.35,227.04,229.35,227.04
137,308,bull,208.02,206.12,208.02,206.12
138,310,bull,229.35,227.04,229.35,227.04
139,312,bull,230.57,228.80,230.57,228.80
140,313,bull,208.02,206.12,208.02,206.12
141,315,bull,212.64,209.92,212.64,209.92
142,316,bull,230.57,228.80,230.57,228.80
143,318,bull,232.61,230.98,232.61,230.98
144,320,bull,212.64,209.92,212.64,209.92
145,322,bull,232.61,230.98,232.61,230.98
146,323,bear,213.46,213.46,211.96,211.96
147,328,bear,213.46,213.46,211.96,211.96
148,330,bear,213.46,213.46,210.60,210.60
149,334,bull,229.76,229.35,229.76,229.35
150,335,bear,213.46,213.46,210.60,210.60
151,336,bull,238.45,237.36,238.45,237.36
152,338,bear,210.60,210.60,209.65,209.65
153,340,bull,238.45,237.36,238.45,237.36
154,342,bull,239.81,238.58,239.81,238.58
155,343,bear,210.60,210.60,209.65,209.65
156,345,bear,210.06,210.06,209.24,209.24
157,346,bull,239.81,238.58,239.81,238.58
158,350,bear,210.06,210.06,209.24,209.24
159,353,bear,208.43,208.43,203.54,203.54
160,354,bear,239.26,239.26,238.04,238.04
161,358,bear,208.43,208.43,203.54,203.54
162,360,bear,203.81,203.81,202.18,202.18
163,364,bear,236.95,236.95,234.51,234.51
164,365,bear,203.81,203.81,202.18,202.18
165,366,bear,232.20,232.20,226.90,226.90
166,368,bull,205.58,203.81,205.58,203.81
167,370,bear,232.20,232.20,226.90,226.90
168,372,bull,230.03,227.04,230.03,227.04
169,373,bull,205.58,203.81,205.58,203.81
170,375,bull,204.90,204.08,204.90,204.08
171,376,bull,230.03,227.04,230.03,227.04
172,378,bull,234.10,229.35,234.10,229.35
173,380,bull,204.90,204.08,204.90,204.08
174,382,bull,234.10,229.35,234.10,229.35
175,383,bull,207.61,204.63,207.61,204.63
176,388,bull,207.61,204.63,207.61,204.63
177,390,bull,208.97,206.80,208.97,206.80
178,394,bull,238.18,237.36,238.18,237.36
179,395,bull,208.97,206.80,208.97,206.80
180,398,bull,211.55,209.52,211.55,209.52
181,402,bear,239.94,239.94,238.04,238.04
182,403,bull,211.55,209.52,211.55,209.52
183,405,bear,211.55,211.55,211.28,211.28
184,406,bear,239.94,239.94,238.04,238.04
185,408,bull,245.51,241.44,245.51,241.44
