date,idx,x,type,high,open,close,low
2021-01-01,0,-2,bull,408.98,238.54,408.98,238.54
2021-01-01,1,4,bear,751.87,751.87,664.63,664.63
2021-01-01,2,5,bear,427.24,427.24,317.67,317.67
2021-01-01,3,10,bull,707.23,638.25,707.23,638.25
2021-01-22,4,13,bull,372.46,285.21,372.46,285.21
2021-02-12,5,16,bear,751.87,751.87,664.63,664.63
2021-03-12,6,20,bear,427.24,427.24,317.67,317.67
2021-03-26,7,22,bear,721.44,721.44,672.74,672.74
2021-04-30,8,28,bear,390.72,390.72,327.82,327.82
2021-06-11,9,34,bear,664.63,664.63,585.50,585.50
2021-06-18,10,35,bull,335.93,293.33,335.93,293.33
2021-07-23,11,40,bull,654.48,563.18,654.48,563.18
2021-08-06,12,43,bear,319.70,319.70,218.25,218.25
2021-08-27,13,46,bull,672.74,654.48,672.74,654.48
2021-09-24,14,50,bull,305.50,191.88,305.50,191.88
2021-10-08,15,52,bear,676.80,676.80,640.28,640.28
2021-11-19,16,58,bull,327.82,305.50,327.82,305.50
2021-12-24,17,64,bear,676.80,676.80,640.28,640.28
2021-12-31,18,65,bear,333.91,333.91,289.27,289.27
2022-02-25,19,73,bull,327.82,305.50,327.82,305.50
2022-03-11,20,76,bear,591.58,591.58,516.51,516.51
2022-04-08,21,80,bear,333.91,333.91,289.27,289.27
2022-04-22,22,82,bull,597.67,486.08,597.67,486.08
2022-05-08,23,88,bull,695.06,595.64,695.06,595.64
2022-05-15,24,94,bull,691.00,672.74,691.00,672.74
2022-05-15,25,95,bear,226.37,226.37,131.01,131.01
2022-05-22,26,100,bear,693.03,693.03,654.48,654.48
2022-05-29,27,103,bull,234.49,94.49,234.49,94.49
2022-06-05,28,106,bear,640.28,640.28,611.87,611.87
2022-06-05,29,110,bull,354.20,230.43,354.20,230.43
2022-06-12,30,112,bear,597.67,597.67,579.41,579.41
2022-06-19,31,118,bull,350.14,327.82,350.14,327.82
2022-06-26,32,124,bull,536.80,532.74,536.80,532.74
2022-07-03,33,125,bear,354.20,354.20,305.50,305.50
2022-07-10,34,130,bear,516.51,516.51,447.53,447.53
2022-07-10,35,133,bear,287.24,287.24,250.72,250.72
2022-07-17,36,136,bear,431.30,431.30,360.28,360.28
2022-07-24,37,140,bear,232.46,232.46,212.17,212.17
2022-07-24,38,142,bull,467.82,362.31,467.82,362.31
2022-07-31,39,148,bear,202.02,202.02,165.50,165.50
2022-08-14,40,154,bear,443.47,443.47,356.22,356.22
2022-08-14,41,155,bull,157.39,153.33,157.39,153.33
2022-08-21,42,160,bear,315.65,315.65,307.53,307.53
2022-08-21,43,163,bear,131.01,131.01,45.79,45.79
2022-08-28,44,166,bull,396.80,323.76,396.80,323.76
2022-08-25,45,170,bear,25.50,25.50,-61.74,-61.74
2022-08-11,46,172,bear,404.92,404.92,372.46,372.46
2022-07-07,47,178,bull,72.17,-59.71,72.17,-59.71
2022-07-01,48,184,bull,471.87,433.32,471.87,433.32
2022-07-01,49,185,bear,66.08,66.08,25.50,25.50
2022-07-01,50,190,bull,508.40,479.99,508.40,479.99
2022-07-01,51,193,bear,43.76,43.76,-67.83,-67.83
2022-07-08,52,196,bull,583.47,508.40,583.47,508.40
2022-07-15,53,200,bear,-116.52,-116.52,-128.70,-128.70
2022-07-15,54,202,bull,609.84,573.32,609.84,573.32
2022-07-22,55,208,bull,-17.10,-108.41,-17.10,-108.41
2022-07-29,56,214,bull,609.84,573.32,609.84,573.32
2022-07-29,57,215,bear,-6.96,-6.96,-47.54,-47.54
2022-08-05,58,220,bear,648.39,648.39,595.64,595.64
2022-08-12,59,223,bull,43.76,-59.71,43.76,-59.71
2022-08-12,60,226,bear,571.29,571.29,524.63,524.63
2022-08-19,61,230,bull,78.26,29.56,78.26,29.56
2022-08-19,62,232,bull,536.80,530.71,536.80,530.71
2022-08-26,63,238,bull,122.89,86.37,122.89,86.37
2022-09-02,64,244,bull,475.93,467.82,475.93,467.82
2022-09-02,65,245,bull,218.25,122.89,218.25,122.89
2022-09-09,66,250,bear,467.82,467.82,366.37,366.37
2022-09-16,67,253,bull,248.69,202.02,248.69,202.02
2022-09-16,68,256,bull,382.60,366.37,382.60,366.37
2022-09-23,69,260,bull,325.79,262.89,325.79,262.89
2022-09-23,70,262,bear,384.63,384.63,368.40,368.40
2022-09-30,71,268,bull,445.50,392.75,445.50,392.75
2022-10-07,72,274,bull,522.60,447.53,522.60,447.53
2022-10-14,73,275,bear,297.38,297.38,232.46,232.46
2022-10-14,74,280,bear,500.28,500.28,368.40,368.40
2022-10-21,75,283,bear,202.02,202.02,143.18,143.18
2022-10-28,76,286,bull,467.82,356.22,467.82,356.22
2022-10-28,77,290,bull,159.42,151.30,159.42,151.30
