date,idx,x,type,high,open,close,low
2025-01-01,0,-2,bear,10072.69,10072.69,10509.33,10509.33
2025-01-01,1,10,bear,8534.04,8534.04,9594.46,9594.46
2025-01-06,2,13,bear,10239.03,10239.03,11569.75,11569.75
2025-01-11,3,16,bull,10301.41,11237.07,10301.41,11237.07
2025-01-18,4,20,bull,12422.24,13628.20,12422.24,13628.20
2025-01-21,5,22,bull,9386.54,10218.24,9386.54,10218.24
2025-01-31,6,28,bull,11299.44,12339.07,11299.44,12339.07
2025-02-09,7,34,bull,9927.14,9989.52,9927.14,9989.52
2025-02-11,8,35,bear,11153.90,11153.90,11736.09,11736.09
2025-02-24,9,43,bull,11964.80,12068.77,11964.80,12068.77
2025-03-01,10,46,bull,8741.97,9989.52,8741.97,9989.52
2025-03-07,11,50,bear,12006.39,12006.39,12047.97,12047.97
2025-03-11,12,52,bull,9282.57,9386.54,9282.57,9386.54
2025-03-20,13,58,bull,10488.54,12068.77,10488.54,12068.77
2025-03-30,14,64,bull,8222.16,8554.84,8222.16,8554.84
2025-04-01,15,65,bull,11174.69,11320.24,11174.69,11320.24
2025-04-09,16,70,bull,7016.19,8097.40,7016.19,8097.40
2025-04-14,17,73,bear,10155.86,10155.86,10800.42,10800.42
2025-04-19,18,76,bull,6662.72,6891.44,6662.72,6891.44
2025-04-25,19,80,bull,9823.18,10280.61,9823.18,10280.61
2025-04-28,20,82,bear,6558.76,6558.76,7120.16,7120.16
2025-06-20,21,88,bull,8326.12,9698.42,8326.12,9698.42
2025-07-04,22,94,bear,6849.85,6849.85,7369.67,7369.67
2025-07-05,23,95,bull,7889.48,8180.57,7889.48,8180.57
2025-07-09,24,100,bear,7182.53,7182.53,7556.80,7556.80
2025-07-11,25,103,bear,7764.72,7764.72,8471.67,8471.67
2025-07-14,26,106,bull,7348.87,7473.63,7348.87,7473.63
2025-07-23,27,118,bear,8138.99,8138.99,8783.55,8783.55
2025-07-28,28,124,bear,7140.95,7140.95,7286.50,7286.50
2025-07-28,29,125,bear,8554.84,8554.84,9012.27,9012.27
2025-08-01,30,130,bear,7161.74,7161.74,7764.72,7764.72
2025-08-04,31,133,bull,8762.76,8908.31,8762.76,8908.31
2025-08-06,32,136,bear,8180.57,8180.57,8575.63,8575.63
2025-08-09,33,140,bull,8762.76,8804.35,8762.76,8804.35
2025-08-11,34,142,bear,8596.42,8596.42,8825.14,8825.14
2025-08-15,35,148,bull,8450.87,8908.31,8450.87,8908.31
2025-08-20,36,154,bull,8346.91,8388.50,8346.91,8388.50
2025-08-21,37,155,bear,8492.46,8492.46,8679.59,8679.59
2025-08-25,38,160,bear,8263.74,8263.74,8721.18,8721.18
2025-08-27,39,163,bear,8513.25,8513.25,9261.78,9261.78
2025-08-29,40,166,bear,8741.97,8741.97,9282.57,9282.57
2025-08-31,41,170,bear,9781.59,9781.59,10280.61,10280.61
2025-08-30,42,172,bull,8825.14,9157.82,8825.14,9157.82
2025-08-27,43,178,bear,10301.41,10301.41,10613.29,10613.29
2025-08-23,44,184,bull,8305.33,8617.21,8305.33,8617.21
2025-08-23,45,185,bull,10072.69,10571.71,10072.69,10571.71
2025-08-20,46,190,bear,8222.16,8222.16,8908.31,8908.31
2025-08-19,47,193,bull,9989.52,10051.90,9989.52,10051.90
2025-08-17,48,196,bear,9137.03,9137.03,9802.39,9802.39
2025-08-15,49,200,bear,9906.35,9906.35,10467.75,10467.75
2025-08-14,50,202,bear,10031.10,10031.10,10426.16,10426.16
2025-08-11,51,208,bear,10509.33,10509.33,11174.69,11174.69
2025-08-07,52,214,bear,9615.25,9615.25,9740.01,9740.01
2025-08-07,53,215,bull,10592.50,11029.14,10592.50,11029.14
2025-08-04,54,220,bull,10093.48,10571.71,10093.48,10571.71
2025-08-03,55,223,bear,10218.24,10218.24,10717.25,10717.25
2025-08-01,56,226,bear,10218.24,10218.24,10883.59,10883.59
2025-08-01,57,230,bull,9947.93,10322.20,9947.93,10322.20
2025-08-02,58,232,bull,10280.61,10758.84,10280.61,10758.84
2025-08-03,59,238,bear,9843.97,9843.97,10717.25,10717.25
2025-08-05,60,244,bear,10592.50,10592.50,10842.01,10842.01
2025-08-05,61,245,bear,10987.56,10987.56,11819.26,11819.26
2025-08-07,62,250,bull,10779.63,11278.65,10779.63,11278.65
2025-08-08,63,253,bear,12110.35,12110.35,12588.58,12588.58
2025-08-08,64,256,bear,10987.56,10987.56,11673.71,11673.71
2025-08-09,65,260,bull,11923.22,12942.05,11923.22,12942.05
2025-08-10,66,262,bull,10821.22,11632.12,10821.22,11632.12
2025-08-12,67,268,bear,11590.54,11590.54,11736.09,11736.09
2025-08-13,68,274,bull,10675.67,10800.42,10675.67,10800.42
2025-08-14,69,275,bull,12193.52,12796.50,12193.52,12796.50
2025-08-15,70,280,bull,10634.08,10717.25,10634.08,10717.25
2025-08-16,71,283,bear,12359.86,12359.86,13170.77,13170.77
2025-08-17,72,286,bear,9428.12,9428.12,9636.05,9636.05
2025-08-18,73,290,bull,12401.45,13004.43,12401.45,13004.43
2025-08-18,74,292,bull,9261.78,9594.46,9261.78,9594.46
2025-08-20,75,298,bear,12422.24,12422.24,12754.92,12754.92
2025-08-21,76,304,bear,8617.21,8617.21,8825.14,8825.14
2025-08-22,77,305,bear,12817.29,12817.29,13129.18,13129.18
2025-08-23,78,310,bear,8929.10,8929.10,9677.63,9677.63
2025-08-24,79,313,bull,13025.22,13669.79,13025.22,13669.79
2025-08-25,80,316,bull,9303.37,9365.74,9303.37,9365.74
2025-08-26,81,320,bear,13295.52,13295.52,14168.81,14168.81
2025-08-26,82,322,bear,9573.67,9573.67,10301.41,10301.41
2025-08-28,83,328,bull,13087.60,14127.22,13087.60,14127.22
2025-08-30,84,334,bear,11278.65,11278.65,11424.20,11424.20
2025-08-30,85,335,bear,13191.56,13191.56,13545.03,13545.03
2025-08-31,86,340,bull,10654.88,11403.41,10654.88,11403.41
2025-09-01,87,343,bull,12921.26,13066.80,12921.26,13066.80
2025-09-02,88,346,bear,10550.91,10550.91,10821.22,10821.22
2025-09-03,89,350,bull,12858.88,12962.84,12858.88,12962.84
2025-09-03,90,352,bull,10301.41,10675.67,10301.41,10675.67
2025-09-04,91,358,bear,11341.03,11341.03,11632.12,11632.12
2025-09-06,92,364,bear,9885.56,9885.56,10176.65,10176.65
2025-09-06,93,365,bull,11133.10,11548.95,11133.10,11548.95
2025-09-07,94,370,bear,9968.73,9968.73,10051.90,10051.90
2025-09-08,95,373,bull,10800.42,11195.48,10800.42,11195.48
2025-09-09,96,380,bear,10342.99,10342.99,10613.29,10613.29
2025-09-10,97,382,bear,9220.20,9220.20,9261.78,9261.78
2025-09-11,98,388,bear,10717.25,10717.25,11652.92,11652.92
2025-09-13,99,394,bull,8721.18,8866.72,8721.18,8866.72
2025-09-13,100,395,bull,11195.48,11278.65,11195.48,11278.65
2025-09-14,101,400,bear,8700.38,8700.38,8887.52,8887.52
2025-09-15,102,403,bear,11528.16,11528.16,12443.03,12443.03
2025-09-15,103,406,bull,8242.95,8866.72,8242.95,8866.72
2025-09-16,104,410,bear,12546.99,12546.99,13482.65,13482.65
2025-09-17,105,412,bull,7868.69,8076.61,7868.69,8076.61
2025-09-18,106,418,bear,13669.79,13669.79,13856.92,13856.92
2025-09-19,107,424,bear,7556.80,7556.80,7868.69,7868.69
2025-09-20,108,425,bull,12900.46,13815.33,12900.46,13815.33
2025-09-21,109,430,bear,8242.95,8242.95,8367.71,8367.71
2025-09-21,110,433,bear,12754.92,12754.92,13087.60,13087.60
2025-09-22,111,436,bear,8346.91,8346.91,8492.46,8492.46
2025-09-23,112,440,bull,12443.03,12921.26,12443.03,12921.26
2025-09-23,113,442,bear,8741.97,8741.97,8929.10,8929.10
2025-09-25,114,448,bear,11133.10,11133.10,12339.07,12339.07
2025-09-26,115,454,bear,9906.35,9906.35,10530.12,10530.12
2025-09-26,116,455,bear,11944.01,11944.01,12297.48,12297.48
2025-09-28,117,460,bear,10259.82,10259.82,10592.50,10592.50
2025-09-28,118,463,bear,12006.39,12006.39,12131.14,12131.14
2025-09-29,119,466,bear,10405.37,10405.37,10696.46,10696.46
2025-09-30,120,472,bull,9823.18,10654.88,9823.18,10654.88
2025-10-02,121,478,bear,11091.52,11091.52,11153.90,11153.90
2025-10-03,122,484,bull,8866.72,9490.50,8866.72,9490.50
2025-10-03,123,485,bull,11008.35,11299.44,11008.35,11299.44
2025-10-05,124,490,bull,8741.97,8825.14,8741.97,8825.14
2025-10-05,125,493,bull,10467.75,10654.88,10467.75,10654.88
2025-10-06,126,496,bear,8866.72,8866.72,8970.69,8970.69
2025-10-07,127,500,bear,10446.95,10446.95,10675.67,10675.67
2025-10-08,128,502,bull,8471.67,8866.72,8471.67,8866.72
2025-10-09,129,508,bull,9864.76,10654.88,9864.76,10654.88
2025-10-11,130,514,bull,8284.54,8450.87,8284.54,8450.87
2025-10-11,131,515,bull,9407.33,9656.84,9407.33,9656.84
2025-10-12,132,520,bear,8076.61,8076.61,8575.63,8575.63
2025-10-13,133,523,bear,8866.72,8866.72,8929.10,8929.10
2025-10-14,134,526,bull,7910.27,8430.08,7910.27,8430.08
2025-10-15,135,530,bear,9012.27,9012.27,9407.33,9407.33
2025-10-15,136,532,bull,6870.65,7598.38,6870.65,7598.38
2025-10-16,137,538,bear,9864.76,9864.76,10031.10,10031.10
2025-10-18,138,544,bull,5851.82,5893.40,5851.82,5893.40
2025-10-18,139,545,bear,10010.31,10010.31,10176.65,10176.65
2025-10-19,140,550,bear,5623.10,5623.10,5727.06,5727.06
2025-10-20,141,553,bear,10509.33,10509.33,10738.05,10738.05
2025-10-21,142,556,bear,4999.32,4999.32,5643.89,5643.89
2025-10-22,143,560,bear,10862.80,10862.80,11548.95,11548.95
2025-10-22,144,562,bear,5477.55,5477.55,6018.16,6018.16
2025-10-24,145,568,bear,11944.01,11944.01,12734.12,12734.12
2025-10-26,146,575,bear,12380.65,12380.65,12817.29,12817.29
2025-10-27,147,580,bull,5020.12,5290.42,5020.12,5290.42
2025-10-28,148,583,bear,12567.79,12567.79,12942.05,12942.05
2025-10-28,149,586,bear,5290.42,5290.42,5685.48,5685.48
2025-10-29,150,590,bull,11840.05,12900.46,11840.05,12900.46
2025-10-30,151,592,bear,5768.65,5768.65,6309.25,6309.25
2025-10-31,152,598,bull,11569.75,12214.31,11569.75,12214.31
2025-11-02,153,604,bear,6246.87,6246.87,6808.27,6808.27
2025-11-02,154,605,bull,10654.88,11424.20,10654.88,11424.20
2025-11-03,155,610,bear,6829.06,6829.06,7140.95,7140.95
2025-11-04,156,613,bull,10509.33,10592.50,10509.33,10592.50
2025-11-05,157,616,bull,7244.91,7452.84,7244.91,7452.84
2025-11-06,158,620,bear,10654.88,10654.88,10800.42,10800.42
