date,open,high,low,close,type
2022-09-26,18435.44,18688.46,18435.44,18688.46,bull
2022-10-03,18702.52,18702.52,18491.67,18491.67,bear
2023-03-27,18618.18,18618.18,18604.12,18604.12,bear
2023-04-03,18618.18,18618.18,18604.12,18604.12,bear
2023-04-10,18590.06,18814.97,18590.06,18814.97,bull
2023-04-17,18857.14,18857.14,18660.35,18660.35,bear
2023-04-24,18688.46,19180.45,18688.46,19180.45,bull
2023-05-02,19250.74,19321.02,19250.74,19321.02,bull
2023-05-08,19405.36,19545.93,19405.36,19545.93,bull
2023-05-15,19616.21,19728.67,19616.21,19728.67,bull
2023-05-22,19742.72,19742.72,19644.33,19644.33,bear
2023-05-29,19658.38,19658.38,19517.82,19517.82,bear
2023-06-05,19559.99,19559.99,19433.47,19433.47,bear
2023-06-12,19377.25,19377.25,19306.96,19306.96,bear
2023-06-19,19306.96,19306.96,19264.79,19264.79,bear
2023-06-26,19292.91,19419.42,19292.91,19419.42,bull
2023-07-03,19531.87,19813.01,19531.87,19813.01,bull
2023-07-10,19897.35,20178.49,19897.35,20178.49,bull
2023-07-17,20150.37,20150.37,19672.44,19672.44,bear
2023-07-24,19672.44,19672.44,19644.33,19644.33,bear
2023-07-31,19630.27,19644.33,19630.27,19644.33,bull
2023-08-07,19545.93,19742.72,19545.93,19742.72,bull
2023-08-14,19728.67,19728.67,19545.93,19545.93,bear
2023-08-21,19503.76,19503.76,19053.94,19053.94,bear
2023-08-28,19053.94,19222.62,19053.94,19222.62,bull
2023-09-04,19349.13,19517.82,19349.13,19517.82,bull
2023-09-11,19489.7,19714.61,19489.7,19714.61,bull
2023-09-18,19728.67,19784.89,19728.67,19784.89,bull
2023-09-25,19841.12,20248.77,19841.12,20248.77,bull
2023-10-03,20600.19,20951.61,20600.19,20951.61,bull
2023-10-09,20965.67,21443.6,20965.67,21443.6,bull
2023-10-16,21415.49,21415.49,21345.2,21345.2,bear
2023-10-23,21373.32,21724.74,21373.32,21724.74,bull
2023-10-30,21710.68,21710.68,21696.62,21696.62,bear
2023-11-06,21752.85,21879.36,21752.85,21879.36,bull
2023-11-13,22033.99,22033.99,21570.11,21570.11,bear
2023-11-20,21710.68,21710.68,21359.26,21359.26,bear
2023-11-28,21429.54,21837.19,21429.54,21837.19,bull
2023-12-04,21907.48,21907.48,21780.96,21780.96,bear
2023-12-11,21809.08,22033.99,21809.08,22033.99,bull
2023-12-18,22104.27,22202.67,22104.27,22202.67,bull
2023-12-26,22174.56,22371.35,22174.56,22371.35,bull
2024-01-01,22399.47,22483.81,22399.47,22483.81,bull
2024-01-08,22511.92,22511.92,22019.93,22019.93,bear
2024-01-15,21991.82,22090.22,21991.82,22090.22,bull
2024-01-23,21949.65,22315.12,21949.65,22315.12,bull
2024-01-29,22455.69,22497.86,22455.69,22497.86,bull
2024-02-05,22568.15,22568.15,22525.98,22525.98,bear
2024-02-12,22329.18,22329.18,22146.44,22146.44,bear
2024-02-19,22343.24,22413.52,22343.24,22413.52,bull
2024-03-04,22554.09,22554.09,22062.1,22062.1,bear
2024-03-11,22033.99,22483.81,22033.99,22483.81,bull
2024-03-18,22399.47,22947.68,22399.47,22947.68,bull
2024-03-26,18814.97,19264.79,18814.97,19264.79,bull
2024-04-01,23327.22,23327.22,23285.05,23285.05,bear
2024-04-08,19278.85,19869.24,19278.85,19869.24,bull
2024-04-15,19841.12,19841.12,19756.78,19756.78,bear
2024-04-22,19770.84,20220.66,19770.84,20220.66,bull
2024-04-29,20206.6,20206.6,20192.54,20192.54,bear
2024-05-06,24325.25,24493.93,24325.25,24493.93,bull
2024-05-13,20248.77,20417.45,20248.77,20417.45,bull
2024-05-21,20614.25,20614.25,20037.92,20037.92,bear
2024-05-27,20192.54,20192.54,19756.78,19756.78,bear
2024-06-03,19855.18,20375.28,19855.18,20375.28,bull
2024-06-10,24325.25,24522.05,24325.25,24522.05,bull
2024-06-18,20459.62,20459.62,20290.94,20290.94,bear
2024-06-24,20319.05,20600.19,20319.05,20600.19,bull
2024-07-01,20698.59,20825.1,20698.59,20825.1,bull
2024-07-08,20782.93,21021.9,20782.93,21021.9,bull
2024-07-15,25407.63,25773.11,25407.63,25773.11,bull
2024-07-22,21064.07,21176.52,21064.07,21176.52,bull
2024-07-29,21204.63,21204.63,20600.19,20600.19,bear
