date,idx,x,type,high,open,close,low
2024-07-01,0,695,bull,16839.24,16699.31,16839.24,16699.31
2024-07-01,1,710,bear,17259.02,17259.02,17227.92,17227.92
2024-07-01,2,725,bull,16994.71,16637.12,16994.71,16637.12
2024-07-01,3,733,bull,17305.66,17010.26,17305.66,17010.26
2024-07-01,4,748,bear,16994.71,16994.71,16777.05,16777.05
2024-07-01,5,755,bear,16590.48,16590.48,16543.83,16543.83
2024-07-01,6,770,bull,16621.57,16543.83,16621.57,16543.83
2024-07-01,7,785,bull,17243.47,17212.38,17243.47,17212.38
2024-07-01,8,793,bull,17601.06,17398.95,17601.06,17398.95
2024-07-01,9,808,bear,17865.37,17865.37,17818.73,17818.73
2024-07-01,10,815,bull,18005.30,17740.99,18005.30,17740.99
2024-07-01,11,830,bear,18222.96,18222.96,18005.30,18005.30
2024-07-01,12,845,bear,17772.09,17772.09,17290.11,17290.11
2024-07-01,13,853,bull,17585.52,17305.66,17585.52,17305.66
2024-07-01,14,860,bear,17616.61,17616.61,17336.76,17336.76
2024-07-01,15,875,bear,17601.06,17601.06,17072.45,17072.45
2024-07-01,16,890,bull,17321.21,17010.26,17321.21,17010.26
2024-07-01,17,898,bull,17414.49,17336.76,17414.49,17336.76
2024-07-01,18,913,bear,17430.04,17430.04,16932.52,16932.52
2024-07-01,19,928,bear,17134.64,17134.64,16870.33,16870.33
2024-07-01,20,936,bear,16870.33,16870.33,16543.83,16543.83
2024-07-01,21,951,bull,16808.14,16419.45,16808.14,16419.45
2024-07-01,22,958,bull,17056.90,16885.88,17056.90,16885.88
2024-07-01,23,973,bear,17336.76,17336.76,17088.00,17088.00
2024-07-01,24,988,bear,17601.06,17601.06,17554.42,17554.42
2024-07-01,25,996,bull,17803.18,17616.61,17803.18,17616.61
2025-07-01,26,1011,bull,17989.75,17694.35,17989.75,17694.35
2025-07-01,27,1018,bear,18129.68,18129.68,18051.94,18051.94
