date,open,high,low,close,type
2022-09-26,17156.3,17196.4,16747.7,17094.35,bear
2022-10-03,17102.1,17428.8,16855.55,17314.65,bull
2023-03-27,16984.3,17381.6,16913.75,17359.75,bull
2023-04-03,17427.95,17638.7,17312.75,17599.15,bull
2023-04-10,17634.9,17842.15,17597.95,17828.0,bull
2023-04-17,17863.0,17863.0,17553.95,17624.05,bear
2023-04-24,17707.55,18089.15,17612.5,18065.0,bull
2023-05-02,18124.8,18267.45,18042.4,18069.0,bear
2023-05-08,18120.6,18389.7,18100.3,18314.8,bull
2023-05-15,18339.3,18458.9,18060.4,18203.4,bear
2023-05-22,18201.1,18508.55,18178.85,18499.35,bull
2023-05-29,18619.15,18662.45,18464.55,18534.1,bear
2023-06-05,18612.0,18777.9,18531.6,18563.4,bear
2023-06-12,18595.05,18864.7,18559.75,18826.0,bull
2023-06-19,18873.3,18886.6,18647.1,18665.5,bear
2023-06-26,18682.35,19201.7,18646.7,19189.05,bull
2023-07-03,19246.5,19523.6,19234.4,19331.8,bull
2023-07-10,19400.35,19595.35,19327.1,19564.5,bull
2023-07-17,19612.15,19991.85,19562.95,19745.0,bull
2023-07-24,19748.45,19867.55,19563.1,19646.05,bear
2023-07-31,19666.35,19795.6,19296.45,19517.0,bear
2023-08-07,19576.85,19645.5,19412.75,19428.3,bear
2023-08-14,19383.95,19482.75,19253.6,19310.15,bear
2023-08-21,19320.65,19584.45,19229.7,19265.8,bear
2023-08-28,19298.35,19458.55,19223.65,19435.3,bull
2023-09-04,19525.05,19867.15,19432.85,19819.95,bull
2023-09-11,19890.0,20222.45,19865.35,20192.35,bull
2023-09-18,20155.95,20195.35,19657.5,19674.25,bear
2023-09-25,19678.2,19766.65,19492.1,19638.3,bear
2023-10-03,19622.4,19675.75,19333.6,19653.5,bull
2023-10-09,19539.45,19843.3,19480.5,19751.05,bull
2023-10-16,19737.25,19849.75,19512.35,19542.65,bear
2023-10-23,19521.6,19556.85,18837.85,19047.25,bear
