idx,x,type,high,open,close,low
0,-2,bear,1606.38,1606.38,1589.89,1589.89
1,0,bull,1593.56,1589.89,1593.56,1589.89
2,4,bull,1685.17,1681.51,1685.17,1681.51
3,5,bull,1593.56,1589.89,1593.56,1589.89
4,6,bull,1723.66,1710.83,1723.66,1710.83
5,8,bull,1643.03,1624.71,1643.03,1624.71
6,10,bull,1723.66,1710.83,1723.66,1710.83
7,12,bull,1806.11,1743.81,1806.11,1743.81
8,13,bull,1643.03,1624.71,1643.03,1624.71
9,15,bull,1745.64,1666.85,1745.64,1666.85
10,16,bull,1806.11,1743.81,1806.11,1743.81
11,18,bull,1829.93,1824.44,1829.93,1824.44
12,20,bull,1745.64,1666.85,1745.64,1666.85
13,22,bull,1829.93,1824.44,1829.93,1824.44
14,23,bull,1774.96,1765.80,1774.96,1765.80
15,24,bear,1833.60,1833.60,1712.66,1712.66
16,28,bull,1774.96,1765.80,1774.96,1765.80
17,30,bear,1778.63,1778.63,1626.54,1626.54
18,34,bull,1692.50,1624.71,1692.50,1624.71
19,35,bear,1778.63,1778.63,1626.54,1626.54
20,36,bear,1685.17,1685.17,1549.58,1549.58
21,38,bull,1602.72,1518.43,1602.72,1518.43
22,40,bear,1685.17,1685.17,1549.58,1549.58
23,42,bear,1544.08,1544.08,1481.78,1481.78
24,43,bull,1602.72,1518.43,1602.72,1518.43
25,45,bear,1593.56,1593.56,1423.14,1423.14
26,46,bear,1544.08,1544.08,1481.78,1481.78
27,48,bear,1463.46,1463.46,1456.13,1456.13
28,50,bear,1593.56,1593.56,1423.14,1423.14
29,52,bear,1463.46,1463.46,1456.13,1456.13
30,53,bear,1417.65,1417.65,1338.85,1338.85
31,54,bull,1465.29,1456.13,1465.29,1456.13
32,58,bear,1417.65,1417.65,1338.85,1338.85
33,60,bear,1316.86,1316.86,1305.87,1305.87
34,64,bull,1487.28,1474.45,1487.28,1474.45
35,65,bear,1316.86,1316.86,1305.87,1305.87
36,66,bull,1459.79,1454.29,1459.79,1454.29
37,68,bull,1318.70,1305.87,1318.70,1305.87
38,70,bull,1459.79,1454.29,1459.79,1454.29
39,72,bear,1498.27,1498.27,1474.45,1474.45
40,73,bull,1318.70,1305.87,1318.70,1305.87
41,75,bull,1348.01,1329.69,1348.01,1329.69
42,76,bear,1498.27,1498.27,1474.45,1474.45
43,78,bear,1487.28,1487.28,1479.95,1479.95
44,80,bull,1348.01,1329.69,1348.01,1329.69
45,82,bear,1487.28,1487.28,1479.95,1479.95
46,83,bull,1311.37,1304.04,1311.37,1304.04
47,84,bull,1525.76,1494.61,1525.76,1494.61
48,88,bull,1311.37,1304.04,1311.37,1304.04
