date,open,high,low,close,type
2013-02-01,177.89,186.37,160.23,171.76,bear
2013-03-01,173.82,186.04,158.35,160.77,bear
2013-04-01,159.46,179.8,150.41,179.23,bull
2013-05-02,176.63,190.85,168.95,187.53,bull
2013-06-03,185.02,189.83,157.16,167.13,bear
2013-07-01,166.06,181.14,165.46,173.52,bull
2013-08-01,174.12,193.77,162.35,178.54,bull
2013-09-02,176.81,211.96,174.45,197.3,bull
2013-10-01,198.85,234.93,197.3,226.93,bull
2013-11-01,229.37,241.95,213.9,238.04,bull
2013-12-02,237.74,241.23,214.44,224.89,bear
2014-01-01,225.52,232.36,206.38,209.04,bear
2014-02-03,207.27,249.8,198.37,249.06,bull
2014-03-03,247.89,251.3,226.24,238.13,bear
2014-04-01,242.01,261.5,238.63,247.74,bull
2014-05-02,249.68,277.75,243.14,247.92,bear
2014-06-02,247.89,272.0,245.23,257.65,bull
2014-07-01,258.5,291.6,258.5,266.85,bull
2014-08-01,265.7,317.55,257.1,313.65,bull
2014-09-01,314.2,324.1,293.55,299.95,bear
2014-10-01,299.4,321.65,279.55,320.1,bull
2014-11-03,316.95,328.95,305.55,318.7,bull
2014-12-01,322.45,322.45,279.95,296.0,bear
2015-01-01,295.4,363.0,292.2,349.55,bull
2015-02-02,351.1,365.8,323.35,354.45,bull
2015-03-02,356.85,359.0,309.5,328.65,bear
2015-04-01,328.0,346.25,305.95,306.85,bear
2015-05-04,308.95,320.55,279.85,290.8,bear
2015-06-01,291.55,291.55,251.9,262.1,bear
2015-07-01,263.7,270.1,221.02,231.74,bear
2015-08-03,233.25,239.07,182.08,205.36,bear
2015-09-01,202.22,216.68,168.5,180.27,bear
2015-10-01,181.99,239.56,175.99,232.4,bull
2015-11-02,233.1,260.75,225.22,255.55,bull
2015-12-01,257.8,257.8,217.64,236.24,bear
2016-01-01,236.96,243.3,195.0,203.39,bear
2016-02-01,204.51,208.1,160.47,180.94,bear
2016-03-01,181.78,237.63,181.78,233.4,bull
2016-04-01,233.28,256.75,222.77,246.53,bull
2016-05-02,246.29,280.65,227.06,277.5,bull
2016-06-01,275.15,295.75,254.3,277.25,bull
2016-07-01,279.9,309.9,274.15,303.8,bull
2016-08-01,305.95,331.3,287.05,324.6,bull
2016-09-01,326.3,361.25,311.9,322.9,bear
2016-10-03,325.65,344.8,308.35,324.2,bear
2016-11-01,322.65,331.65,267.55,277.3,bear
2016-12-01,275.9,293.55,258.55,284.95,bull
2017-01-02,284.95,333.25,283.2,316.1,bull
2017-02-01,318.45,328.75,262.25,275.75,bear
2017-03-01,275.25,292.3,270.45,281.25,bull
2017-04-03,282.7,290.1,264.2,277.05,bear
2017-05-02,275.65,294.75,251.9,287.45,bull
2017-06-01,287.95,293.4,258.4,261.15,bear
2017-07-03,260.5,282.75,257.2,268.4,bull
2021-01-01,111.66,185.28,111.39,158.6,bull
2021-02-01,162.85,206.41,154.16,194.97,bull
2021-03-01,199.23,215.53,170.4,182.2,bear
2021-04-01,185.19,196.21,169.37,177.4,bear
2021-05-03,174.66,203.24,172.06,192.44,bull
2021-06-01,192.71,217.79,190.53,205.02,bull
2021-07-01,206.17,216.25,171.22,177.46,bear
2021-08-02,180.6,188.06,162.07,173.45,bear
2021-09-01,174.48,204.0,173.45,201.25,bull
2021-10-01,200.83,319.95,196.63,292.0,bull
2021-11-01,293.7,324.0,267.5,276.85,bear
2021-12-01,282.45,305.7,265.65,291.25,bull
2022-01-03,297.95,319.05,282.35,312.6,bull
2022-02-01,306.7,310.75,244.78,274.1,bear
2022-03-02,273.45,276.8,227.21,261.85,bear
2022-04-01,262.0,279.35,251.75,264.2,bull
2022-05-02,264.4,271.35,221.08,267.8,bull
2022-06-01,268.7,269.25,227.39,248.61,bear
2022-07-01,247.92,278.15,242.88,271.45,bull
2022-08-01,272.85,298.5,270.25,284.4,bull
2022-09-01,279.2,286.4,235.66,244.27,bear
2022-10-03,244.81,252.15,236.12,249.19,bull
2022-11-01,250.5,266.35,247.04,265.3,bull
2022-12-01,267.45,267.8,226.52,234.21,bear
2023-01-02,236.96,274.55,230.02,272.95,bull
2023-02-01,275.8,278.6,249.37,254.0,bear
2023-03-01,254.45,266.9,241.76,254.05,bear
2023-04-03,255.35,294.6,253.25,292.8,bull
2023-05-02,291.3,324.3,286.5,317.75,bull
2023-06-01,318.45,361.65,315.65,359.55,bull
2023-07-03,362.25,401.7,353.15,389.0,bull
2023-08-01,389.4,394.15,358.2,362.85,bear
2023-09-01,364.75,390.6,363.4,380.45,bull
2023-10-03,381.9,409.2,367.25,379.55,bear
2023-11-01,380.35,433.0,378.1,426.45,bull
2023-12-01,427.45,484.75,420.35,470.85,bull
2024-01-01,473.9,541.25,468.65,533.8,bull
2024-02-01,543.35,589.25,529.05,573.65,bull
2024-03-01,578.95,643.35,556.15,599.4,bull
2024-04-01,603.7,621.55,569.9,608.5,bull
2024-05-02,615.8,634.1,554.8,557.25,bear
2024-06-03,581.4,609.9,516.4,597.55,bull
2024-07-01,597.55,711.8,583.9,698.3,bull
2024-08-01,704.55,710.0,608.8,670.95,bear
2024-09-02,667.1,667.1,573.05,588.4,bear
2024-10-01,589.8,594.35,498.5,503.55,bear
2024-11-01,511.95,511.95,458.35,474.8,bear
2024-12-02,475.3,495.25,433.3,446.85,bear
2025-01-01,447.05,489.0,412.45,432.35,bear
2025-02-01,434.4,437.95,373.35,374.7,bear
2025-03-03,374.7,436.5,366.05,407.2,bull
2025-04-01,404.85,412.3,323.45,388.95,bear
2025-05-02,387.0,447.95,383.7,434.4,bull
2025-06-02,432.85,449.15,402.15,415.35,bear
2025-07-01,417.25,426.55,393.85,402.05,bear
2025-08-01,403.25,424.65,378.6,403.9,bull
2025-09-01,405.3,437.85,395.6,410.65,bull
2025-10-01,411.15,446.55,376.3,410.0,bear
2026-10-01,338.4,366.95,333.65,356.55,bull
2026-11-02,338.4,366.95,333.65,356.55,bull
2026-12-01,338.4,366.95,333.65,356.55,bull
2027-01-01,338.4,366.95,333.65,356.55,bull
2027-03-01,338.4,366.95,333.65,356.55,bull
